Name;Ext;Vorgänger;;WaterProof;Allround;Winter;Running;Training;Fitness;Freizeit;Trekking;Beginn;Ende
Entrada;;Classic;w;;x;;;;;;;;
EL-X;;Classic;m;;x;;;;x;x;;2013;
VI-B;VI-Balerina;Entrada;w;;x;;;;;;;;
;;;;;;;;;;;;;
KSO Evo;;KSO ;;;x;;;;;x;;2014;
KSO;;Classic;;;;;;;;;;2008;
KMD Sport;;KMD;;;;;;;;;;2011;
KMD Sport LS;Komodo;KMD Sport;w;;;;x;;x;;;2011;
KMD;;Classic;;;;;;;;;;;
KMD Evo;;KMD;;;;;x;;;x;;2017;
V-Train;;KMD Sport LS;;;;;;x;;;;2017;
V-Run/Bikila Evo 2;;Bikila Evo;;;;;x;;;;;2016;
Bikila Evo;;Bikila ;;;;;;;;;;<2014;
V-Trail;;Spyridon MR ;;;;;x;;;;;2017;
Bikila ;;Classic;;;;;x;;;;;;
Bikila LS ;;Bikila ;;;;;x;;;;;2011;
Bikila Evo WP;;Bikila ;;x;;;x;;;;;2016;
CVT Wool;;Classic;;;;x;;;;;;2015;
CVT HEMP;;Classic;;;;;;;;;;;
KSO Trek Sport ;;KSO;;;;;;;;;;;
Trek Ascent;;KSO Trek Sport ;;;;;;;;;;;
Trek Ascent Insulated;;Trek Ascent;;;;x;;;;;x;2015;
Classic;;;;;;;;;;;;2006;
Grado;;Classic;w;;;;;;;;;2012;
Jaya;;;;;;;;;x;;;2011;
Sprint;;Classic;;;;;x;;;;;2007;
Spyridon MR ;;Spyridon ;;;;;;;;;;2014;
Spyridon ;;;;;;;;x;;;;<=2012;
Lontra;;KSO Trek Sport ;;x;;;;;;;;2012;
Speed;;;;;;;x;;;;;2010;
Speed LS;;Speed;;;;;x;;;;;2012;
Speed XC;;Speed;;;;;x;;;;;2012;
Flow;;Classic;;;;;;;;;;2008;
Flow Trek ;;Flow;;;;;;;;;x;;
KSO Trek;;KSO;;;;;;;;;x;2010;
Bormio ;;KSO Trek;;;;;;;;;;;
Seeya;;;;;;;x;;;;;2012;
Seeya LS;;Seeya;;;;;x;;;;;2013;
Treksport Sandal;;;;;;;;;;;x;2013;
Maiori;;Flow;;;;;;;;;;;
Signa;;;;;;;;;;;;;
V-Aqua ;;Signa ;;;;;;;;;;2018;
V-Alpha ;;;;;;;;;;;x;2018;
V-Trek;;Trek Ascent;;;;;;;;;x;2018;
V-Soul ;;;;;;;;;x;;;2018;
